1,Avocado,154,1.830955760659826,30
2,Bacon,27,2.0510852093381686,5
3,Black Beans,120,4.149792777578615,14
4,Brussels Sprouts,96,3.181162149937217,12
5,Cabbage,320,2.0978384823996215,48
6,Carrots,72,2.6311635107082982,15
7,Celery,24,1.4832402239437137,13
8,Cheese,190,4.336371068644372,27
9,Chicken,390,1.9386276695001285,45
10,Chickpeas,48,4.52976113325578,14
11,Cilantro,176,2.7183868634179733,28
12,Coconut Garlic,44,1.3022192872426819,4
13,Corn,22,3.658385786705512,20
14,Croutons,33,1.4722705800529985,15
15,Cucumber,63,3.045875453058379,25
16,Cucumber Tomato Salad,36,0.27515675596398503,14
17,Eggs,18,4.829662971943342,6
18,Feta,144,0.0004950122741248508,12
19,Grains,328,3.9604940299448876,55
20,Green Curry Turkey Meatballs,40,2.773714856801453,9
21,Hearts of Palm,165,1.9892113811143601,19
22,Jalapeno Peppers,72,4.898005090470587,22
23,Kale,152,4.259469386890565,35
24,Lettuce,100,0.3555466232555421,24
25,Mama Lil's Spicy Peppers,110,3.990194431588508,29
26,Onions,90,2.50746909963059,20
27,Parmesan,22,0.7284382339561174,2
28,Pita Chips,54,1.4784788865033294,22
29,Pork,54,1.036157227514728,18
30,Pumpkin Seeds,24,3.8072217605310303,4
31,Radish,60,1.5337928998183576,24
32,Rice Crackers,66,2.580260638344725,24
33,Rice Noodles,40,0.03983648036771481,6
34,Romaine,649,2.8175966744734544,73
35,Scallions,36,4.459526193558197,5
36,Shallots,99,1.2159068755682045,17
37,Shrimp,66,4.37753288970589,18
38,Spicy Cabbage Slaw,27,2.1357448446817564,3
39,Spinach,27,3.170166821545143,21
40,Sweet Potatoes,80,4.301256663537391,24
41,Tomatoes,77,1.816863462258849,21
42,Tortilla Chips,99,3.4284691041173754,15
